 number name
1 1 "Mainly Alpha "
2 2 "Mainly Beta "
3 3 "Alpha Beta "
4 4 "Few Secondary Structures "
5 6 "Special "
6 1.10 "Orthogonal Bundle "
7 1.20 "Up-down Bundle "
8 1.25 "Alpha Horseshoe "
9 1.40 "Alpha solenoid "
10 1.50 "Alpha/alpha barrel "
11 2.10 "Ribbon "
12 2.20 "Single Sheet "
13 2.30 "Roll "
14 2.40 "Beta Barrel "
15 2.50 "Clam "
16 2.60 "Sandwich "
17 2.70 "Distorted Sandwich "
18 2.80 "Trefoil "
19 2.90 "Orthogonal Prism "
20 2.100 "Aligned Prism "
21 2.102 "3-layer Sandwich "
22 2.105 "3 Propeller "
23 2.110 "4 Propeller "
24 2.115 "5 Propeller "
25 2.120 "6 Propeller "
26 2.130 "7 Propeller "
27 2.140 "8 Propeller "
28 2.150 "2 Solenoid "
29 2.160 "3 Solenoid "
30 2.170 "Beta Complex "
31 2.180 "Shell "
32 3.10 "Roll "
33 3.15 "Super Roll "
34 3.20 "Alpha-Beta Barrel "
35 3.30 "2-Layer Sandwich "
36 3.40 "3-Layer(aba) Sandwich "
37 3.50 "3-Layer(bba) Sandwich "
38 3.55 "3-Layer(bab) Sandwich "
39 3.60 "4-Layer Sandwich "
40 3.65 "Alpha-beta prism "
41 3.70 "Box "
42 3.75 "5-stranded Propeller "
43 3.80 "Alpha-Beta Horseshoe "
44 3.90 "Alpha-Beta Complex "
45 3.100 "Ribosomal Protein L15; Chain K; domain 2 "
46 4.10 "Irregular "
47 6.10 "Helix non-globular "
48 6.20 "Other non-globular "
49 1.10.8 "Helicase, Ruva Protein; domain 3 "
50 1.10.10 "Arc Repressor Mutant, subunit A "
51 1.10.12 "Lyase 2-enoyl-coa Hydratase; Chain A, domain 2 "
52 1.10.15 "3-methyladenine DNA Glycosylase II; Chain A, domain 3 "
53 1.10.20 "Histone, subunit A "
54 1.10.30 "DNA Binding (I), subunit A "
55 1.10.40 "Ribonucleotide Reductase Protein R1; domain 1 "
56 1.10.45 "Vanillyl-alcohol Oxidase; Chain A, domain 4 "
57 1.10.60 "Diphtheria Toxin Repressor; domain 2 "
58 1.10.100 "Insulin-like, subunit E "
